Action_needed,Subcategory,Sentence
1,None,Illuminate the None today.
1,None,Illuminate the None tomorrow.
1,None,Turn on the light in the None in 10 hours.
1,None,Turn on the light in the None in 1 day.
1,None,Illuminate the dining room today.
1,None,Don't illuminate the dining room today.
1,None,Illuminate the dining room tomorrow.
1,None,Turn on the light in the dinin room in 10 hours.
1,None,Turn on the light in the dining room in 1 day.
1,None,Turn on the light in the None.
0,None,Don't turn on the light right now.
0,None,I would get mad if you'd put on the light right now.
1,None,I would not like it if you wouldn't turn on the light right now.
1,None,Is the light on in the living room.
1,None,Would you illuminate the living room in one hour for me please.
1,None,It would be great if you'd turn on the light for me.
1,None,Light on in None.
1,None,Light off in living room in a few hours.
1,None,Turn the light off in the None.
1,None,Turn the light off in the dining room.
1,None,I would like if you made it brighter.
1,None,I would like if you made it brighter in 3 minutes.
1,None,Can you make it brighter here in 8 minutes?
1,None,Can you make it more dark here?
1,None,Don't make it more dark here.
1,None,I would get mad if you would turn on the light in the dining room right now.
1,None,Is the light on in the None?
1,None,Is the light on in the None.
1,None,Has the light been on long in the None?
1,None,Has the light been off long in the None?
1,None,Is the light in the None on?
1,None,Did you turn on the light already?
1,None,Can you please turn on the light?
1,None,Help me to turn on the light.
1,None,Can you please turn on the light in a minute?
1,None,Help me to turn on the light in a minute.
1,None,It is so dark here.
1,None,I can't see anything.
1,None,Lighten the room.
1,None,Can you please turn on the light in a few minutes?
1,None,Help me to turn on the light in a few minutes.
1,None,Lighten the room in a few minutes.
1,None,Lighten the room in 5 minutes.
1,None,Turn the light off in the None in 10 minutes.
1,None,Don't turn the light off in the None in 10 minutes.
1,None,Make it less dark in the None now.
1,None,Turn on the light in the None.
1,None,Illuminate the None.
1,None,Turn off the lights in one hour.
1,None,Turn on the light.
1,Google,Flicker the lights for me.
1,None,Turn on the refrigerator.
1,None,Turn on the oven.
1,None,Turn on the music system.
1,None,Turn off the light in the None.
1,None,Turn off the light in the None.
1,None,Turn off the light in the None.
1,None,Turn off the light in the None.
1,None,Turn off the light in the None.
1,None,Turn off the light in the dining room.
1,None,Turn off the light in the None.
1,None,Turn off the lights in the None.
1,None,Turn off the lights in the None.
1,None,Turn off the lights in the None.
1,None,Turn off the lights in the None.
1,None,Turn off the lights in the None.
1,None,Turn off the lights in the dining room.
1,None,Turn off the lights in the None.
1,None,Turn off something in 45 minutes.
1,None,Turn on something.
1,None,Put on a random appliance in 7 days.
1,None,lights.
1,None,Can you make it less dark in the None tomorrow?
1,None,Can you make it less dark in the None tomorrow?
1,None,Turn on the light in the None in one hour.
1,None,Can you turn off the lights in the None?
1,None,I would get mad if you turn on the lights right now.
1,None,It is dark in the None.
1,None,It is dark in the None.
1,None,It is dark in the living room.
1,None,It is dark in the None.
1,None,It is dark in the None.
1,None,It is dark in the None.
1,None,It is dark in the None.
1,None,Can you make it less dark in the dining room in 5 minutes?
1,None,Can you make it less dark in the None in 85 minutes?
1,None,Can you make it less dark in the None in 5 minutes?
1,None,Can you make it less dark in the None in 45 minutes?
1,None,Can you make it less dark in the None in 15 minutes?
1,None,Can you make it less dark in the None in 50 minutes?
1,None,Can you make it less dark in the None in 5 minutes?
1,None,Can you make it more bright in the dining room in 15 hours?
1,None,Can you make it more bright in the None in 50 hours?
1,None,Can you make it more bright in the None in an hour?
1,None,Can you make it more bright in the None in 5 days?
1,None,Can you make it more bright in the None in 5 weeks?
1,None,Can you make it more bright in the None in 2 minutes?
1,None,Can you make it more bright in the None in 5 minutes?
1,None,Can you make it less bright in the dining room in 15 hours?
1,None,Can you make it less bright in the None in 50 hours?
1,None,Can you make it less bright in the None in an hour?
1,None,Can you make it less bright in the None in 5 days?
1,None,Can you make it less bright in the None in 5 weeks?
1,None,Can you make it less bright in the None in 2 minutes?
1,None,Can you make it less bright in the None in 5 minutes?
1,None,Don't turn off the lights.
1,None,Turn on the lights when I get None.
1,None,Turn on the lights when it's dark None.
1,None,Turn off the lights when it is light None.
1,None,Was there any motion between september and october?
1,None,Was the camera in the None on yesterday?
1,None,Was the camera in the None on yesterday?
1,Google,Was there motion?
1,None,Is the recording device on?
1,None,Was there motion with the motion viewer?
1,None,Would you tell me if there was any motion on the camera None?
1,None,Was there any motion on the camera None?
1,None,Was there movement on the camera in the None yesterday?
1,None,Was there movement on the camera in the None yesterday?
1,None,Was there movement on the camera in the None yesterday?
1,None,Was there movement on the camera in the None yesterday?
1,None,Was there movement on the camera in the living room yesterday?
1,None,I would like it that you'd tell me if the camera in the living room is on.
1,Google,Where there strangers tonight at my house?
1,Google,Did you see any movement tonight?
1,None,Was there something strange None?
1,Google,Is there something I should know about the motion?
1,Google,What do you see on the camera?
1,Google,How many cameras are there?
1,Google,Where are Google the cameras instGoogleed?
1,Google,Is there many motion on the cameras lately?
1,Google,What is the camera currently shooting?
1,Google,Did humans appear on the camera today?
